title,rating,review_count,attraction_name,region,tour_count,venue_type,venue_confidence
"Half Day Dubai City Tour of Frame, Future Museum, & Blue Mosque",5.0,33.0,Palm Jumeirah,Middle_East_Africa,578,outdoor,0.8
"Dubai Private Tour of Creek, Souks, Frame, and Burj Khalifa Entry",4.8,85.0,Palm Jumeirah,Middle_East_Africa,578,outdoor,0.8
"Dubai City Tour: Old & New Dubai Abra Ride, Palm Island, Souks",4.8,1344.0,Palm Jumeirah,Middle_East_Africa,578,outdoor,0.8
Dubai Top 15 Must-see Attractions with Burj Khalifa and Souks,4.6,178.0,Palm Jumeirah,Middle_East_Africa,578,outdoor,0.8
"90 Minutes Speedboat Tour: Marina, Atlantis, Palm & Burj Al Arab",4.8,1498.0,Palm Jumeirah,Middle_East_Africa,578,outdoor,0.8
Dubai Full Day Tour with Entry Ticket to Burj Khalifa at the Top,3.9,909.0,Palm Jumeirah,Middle_East_Africa,578,outdoor,0.8
Dubai Harbour Super Yacht Experience with gourmet & Drinks,4.8,1194.0,Palm Jumeirah,Middle_East_Africa,578,outdoor,0.8
Half Day Dubai City Sightseeing Tour with Pick up,4.7,413.0,Palm Jumeirah,Middle_East_Africa,578,outdoor,0.8
Big Bus Dubai Hop-On Hop-Off Bus Tour,4.4,2593.0,Palm Jumeirah,Middle_East_Africa,578,outdoor,0.8
3 Days Desert Tour From Marrakech To Merzouga Dunes & Camel Trek,4.9,9873.0,Merzouga,Middle_East_Africa,995,outdoor,0.8
3-Day Marrakech to Merzouga Desert Tour: Camel Rides & Overnights,4.9,7714.0,Merzouga,Middle_East_Africa,995,outdoor,0.8
3-Day Marrakech to Fes Sahara Desert Tour via Merzouga,4.9,6052.0,Merzouga,Middle_East_Africa,995,outdoor,0.8
3-Days Morocco Desert Tour from Marrakech to Marzouga,4.7,336.0,Merzouga,Middle_East_Africa,995,outdoor,0.8
3-Day Tour to Merzouga Erg Chebbi with Food & Camel Trek,4.8,1737.0,Merzouga,Middle_East_Africa,995,outdoor,0.8
Camel Trekking & 1 Night in Merzouga Desert Camp,5.0,203.0,Merzouga,Middle_East_Africa,995,outdoor,0.8
"Fes: Best Fez to Marrakech via Merzouga Desert Dunes, 3 Days Tour",4.9,838.0,Merzouga,Middle_East_Africa,995,outdoor,0.8
From Maarrakech:3Day Small Group from Marrakech to Merzouga Dunes,4.8,422.0,Merzouga,Middle_East_Africa,995,outdoor,0.8
1 Night Camel Trekking Tour in Merzouga Desert Camp,4.8,38.0,Merzouga,Middle_East_Africa,995,outdoor,0.8
✅ Camel Ride and Overnight in Sahara Desert Camp,4.8,66.0,Merzouga,Middle_East_Africa,995,outdoor,0.8
Hike Table Mountain with a Guide - Choose Route,5.0,194.0,Table Mountain and Cableway,Middle_East_Africa,142,outdoor,0.8
Table Mountain Tour including Pick Up & Drop Off from Cape Town,4.2,17.0,Table Mountain and Cableway,Middle_East_Africa,142,outdoor,0.8
Table Mountain Cable Car Experience With Pre Booked Tickets,4.7,27.0,Table Mountain and Cableway,Middle_East_Africa,142,outdoor,0.8
"Table Mountain, Cape of good hope Full Day Shared Group Tour",4.9,33.0,Table Mountain and Cableway,Middle_East_Africa,142,outdoor,0.8
"Table Mountain, Boulder's Penguins & Cape Point Private Tour from Cape Town",4.9,336.0,Table Mountain and Cableway,Middle_East_Africa,142,outdoor,0.8
"Table Mountain, Penguins & Cape of Good Hope Small Group Tour",4.7,12.0,Table Mountain and Cableway,Middle_East_Africa,142,outdoor,0.8
African Wonder of Nature Table Mountain Hike.,5.0,8.0,Table Mountain and Cableway,Middle_East_Africa,142,outdoor,0.8
Shared Half-Day Cape Town City Tour,4.9,9.0,Table Mountain and Cableway,Middle_East_Africa,142,outdoor,0.8
Table Mountain Cable Way Tour in Cape Town,5.0,3.0,Table Mountain and Cableway,Middle_East_Africa,142,outdoor,0.8
"Table Mountain, Cape of Good Hope , Penguins , Bo Kaap and Seals",5.0,1.0,Table Mountain and Cableway,Middle_East_Africa,142,outdoor,0.8
Robben Island Tour including Pick Up & Drop Off from Cape Town,4.3,238.0,Robben Island,Middle_East_Africa,239,outdoor,0.8
Robben Island Ferry Ticket and Guided Prison Tour,3.1,157.0,Robben Island,Middle_East_Africa,239,outdoor,0.8
"""Half-Day Robben Island Tour with Customizable Options Included",4.8,29.0,Robben Island,Middle_East_Africa,239,outdoor,0.8
"Robben Island Tour; Pickup, Drop-off; Guided Tour Historic Prison",4.7,19.0,Robben Island,Middle_East_Africa,239,outdoor,0.8
Robben Island Experience: Pre-Booked Ticket & Return Transfers,4.2,119.0,Robben Island,Middle_East_Africa,239,outdoor,0.8
Robben Island Half Day Tour with Pre-Booked Ticket from Cape Town,4.3,25.0,Robben Island,Middle_East_Africa,239,outdoor,0.8
Robben Island Half Day Tour with Pre-Booked Entry Tickets.,3.9,282.0,Robben Island,Middle_East_Africa,239,outdoor,0.8
Robben Island with Tickets & Iconic Table Mountain Full Day Tour,4.1,21.0,Robben Island,Middle_East_Africa,239,outdoor,0.8
Half Day Tour to Robben Island with Pre-Booked Ticket,4.3,27.0,Robben Island,Middle_East_Africa,239,outdoor,0.8
Robben Island Prison Museum Table Mountain Bo-Kaap All Tickets Included Full Day,5.0,5.0,Robben Island,Middle_East_Africa,239,outdoor,0.8
Cape Town Quad Biking Atlantis Sand Dunes,4.3,110.0,Table Mountain National Park,Middle_East_Africa,242,outdoor,0.8
"Table Mountain, Penguins & Cape Point Small Group Tour from Cape Town",4.7,1701.0,Table Mountain National Park,Middle_East_Africa,242,outdoor,0.8
Hike Table Mountain with a Guide - Choose Route,5.0,194.0,Table Mountain National Park,Middle_East_Africa,242,outdoor,0.8
Cape Town: Lion's Head Sunrise/Sunset Hike,5.0,829.0,Table Mountain National Park,Middle_East_Africa,242,outdoor,0.8
"Table Mountain,Cape Point & Penguins Shared Tour, From Cape Town",4.9,235.0,Table Mountain National Park,Middle_East_Africa,242,outdoor,0.8
Cape Town Halfday City and Table Mountain Tour,4.9,146.0,Table Mountain National Park,Middle_East_Africa,242,outdoor,0.8
Cape Town Hop-On Hop-Off Bus Tour with Optional Cruise,4.7,1737.0,Table Mountain National Park,Middle_East_Africa,242,outdoor,0.8
Quad biking Atlantis Dunes Cape Town & Photo Shoot,4.2,386.0,Table Mountain National Park,Middle_East_Africa,242,outdoor,0.8
Tandem Paragliding Cape Town Experience TABLE MOUNTAIN PARAGLIDE,4.7,59.0,Table Mountain National Park,Middle_East_Africa,242,outdoor,0.8
"Table Mountain, Boulders Penguins & Cape point Private Day Tour",5.0,164.0,Table Mountain National Park,Middle_East_Africa,242,outdoor,0.8
Skip the line Hassan 2 mosque Premium Tour entry ticket included,4.8,355.0,Hassan II Mosque,Middle_East_Africa,384,indoor,0.8
Private Tour of Casablanca with Hassan II Mosque Entry Ticket,4.9,978.0,Hassan II Mosque,Middle_East_Africa,384,indoor,0.8
Private Guided Tour of Casablanca Including Mosque Entrance,5.0,348.0,Hassan II Mosque,Middle_East_Africa,384,indoor,0.8
Casablanca Private City Tour,4.9,104.0,Hassan II Mosque,Middle_East_Africa,384,indoor,0.8
Skip the line Hassan II Mosque guided Tour entry tickets included,4.8,106.0,Hassan II Mosque,Middle_East_Africa,384,indoor,0.8
Casablanca City Tour with Hassan II mosque ticket,4.8,2329.0,Hassan II Mosque,Middle_East_Africa,384,indoor,0.8
Casablanca Half-day guided tour,4.8,124.0,Hassan II Mosque,Middle_East_Africa,384,indoor,0.8
Casablanca Cruise break Tour including Guided Mosque Ticket,4.7,41.0,Hassan II Mosque,Middle_East_Africa,384,indoor,0.8
Casablanca Day Tour from Marrakech and Big Mosque Visit,4.8,46.0,Hassan II Mosque,Middle_East_Africa,384,indoor,0.8
Casablanca Night Tour with Andalusian Dinner Show,4.7,18.0,Hassan II Mosque,Middle_East_Africa,384,indoor,0.8
"Luxor: Valley of Kings, Hatchepsut Temple ,Karnak & Luxor-DayTour",4.9,609.0,Karnak Temple,Middle_East_Africa,3825,mixed,0.8
4-Days Nile Cruise From Aswan To Luxor including Abu Simbel and Hot Air Balloon,4.8,2857.0,Karnak Temple,Middle_East_Africa,3825,mixed,0.8
Luxor Private Full-Day Tour: Discover the East and West Banks of the Nile,4.8,530.0,Karnak Temple,Middle_East_Africa,3825,mixed,0.8
Full Day Tour to East and West Banks of Luxor,4.8,1415.0,Karnak Temple,Middle_East_Africa,3825,mixed,0.8
Half Day East Bank Tour to Luxor and Karnak Temples (Private),5.0,131.0,Karnak Temple,Middle_East_Africa,3825,mixed,0.8
"Small group Hurghada to Luxor, Valley of the Kings by Van",4.7,2277.0,Karnak Temple,Middle_East_Africa,3825,mixed,0.8
Private Full-Day Luxor Highlights East and West Banks,5.0,648.0,Karnak Temple,Middle_East_Africa,3825,mixed,0.8
"4-Day 3-Night Nile Cruise from Aswan to Luxor including Abu Simbel, Air Balloon",4.6,602.0,Karnak Temple,Middle_East_Africa,3825,mixed,0.8
Luxor Private Half- DayTour: Karnak & Luxor Temples,5.0,75.0,Karnak Temple,Middle_East_Africa,3825,mixed,0.8
Private Tour Luxor : Luxor Temple and Karnak Temple,5.0,24.0,Karnak Temple,Middle_East_Africa,3825,mixed,0.8
Knysna Boat Cruise aboard Coquette,5.0,148.0,Knysna,Middle_East_Africa,162,outdoor,0.8
Knysna Sunset Sailing Cruise with captain's steak Braai & Bubbly,4.7,27.0,Knysna,Middle_East_Africa,162,outdoor,0.8
Knysna Scootour,4.3,56.0,Knysna,Middle_East_Africa,162,outdoor,0.8
Knysna Heads & Lagoon Adventure Tour,4.7,13.0,Knysna,Middle_East_Africa,162,outdoor,0.8
"Knysna Sunset Sailing Cruise, Light Dinner & Bubbly",4.8,41.0,Knysna,Middle_East_Africa,162,outdoor,0.8
Serendipity Knysna Lagoon Cruise,4.6,17.0,Knysna,Middle_East_Africa,162,outdoor,0.8
Knysna Lagoon Boat Cruises,4.7,31.0,Knysna,Middle_East_Africa,162,outdoor,0.8
Knysna Sunset Cruise,4.6,18.0,Knysna,Middle_East_Africa,162,outdoor,0.8
Tandem Paragliding Instructional Flights in Garden Route,4.8,23.0,Knysna,Middle_East_Africa,162,outdoor,0.8
Knysna Kayak (single kayak),4.0,2.0,Knysna,Middle_East_Africa,162,outdoor,0.8
"Luxor: Valley of Kings, Hatchepsut Temple ,Karnak & Luxor-DayTour",4.9,609.0,Luxor Temple,Middle_East_Africa,3176,mixed,0.8
Full Day Tour to East and West Banks of Luxor,4.8,1415.0,Luxor Temple,Middle_East_Africa,3176,mixed,0.8
Luxor Private Full-Day Tour: Discover the East and West Banks of the Nile,4.8,530.0,Luxor Temple,Middle_East_Africa,3176,mixed,0.8
4-Days Nile Cruise From Aswan To Luxor including Abu Simbel and Hot Air Balloon,4.8,2857.0,Luxor Temple,Middle_East_Africa,3176,mixed,0.8
Private Full-Day Luxor Highlights East and West Banks,5.0,648.0,Luxor Temple,Middle_East_Africa,3176,mixed,0.8
"4-Day 3-Night Nile Cruise from Aswan to Luxor including Abu Simbel, Air Balloon",4.6,602.0,Luxor Temple,Middle_East_Africa,3176,mixed,0.8
Half Day East Bank Tour to Luxor and Karnak Temples (Private),5.0,131.0,Luxor Temple,Middle_East_Africa,3176,mixed,0.8
4-Day Nile Cruise sails Aswan to Luxor&Abu Simbel.Hot air Balloon,4.7,194.0,Luxor Temple,Middle_East_Africa,3176,mixed,0.8
Luxor Private Half- DayTour: Karnak & Luxor Temples,5.0,75.0,Luxor Temple,Middle_East_Africa,3176,mixed,0.8
Half Day East Bank Tour to Luxor and Karnak Temples,4.7,77.0,Luxor Temple,Middle_East_Africa,3176,mixed,0.8
6- Hours Half Day Tour To Sakkara & Memphis & Dahshur,4.7,276.0,Saqqara (Sakkara),Middle_East_Africa,1547,outdoor,0.8
Half Day Tour To Memphis Sakkara And Dahshur Pyramids,4.7,487.0,Saqqara (Sakkara),Middle_East_Africa,1547,outdoor,0.8
"All-inclusive Private Trip Giza Pyramids Sphinx Saqqara, Dahshur",4.9,504.0,Saqqara (Sakkara),Middle_East_Africa,1547,outdoor,0.8
"8 hours Cairo day Tour to Giza Pyramids, Memphis City, Sakkara and Dahshur",4.7,393.0,Saqqara (Sakkara),Middle_East_Africa,1547,outdoor,0.8
"Private Day Tour Saqqara Pyramids, Memphis and Dahshur Pyramids",4.9,138.0,Saqqara (Sakkara),Middle_East_Africa,1547,outdoor,0.8
"VIP All inclusive Best of the best Giza Pyramids,Sakkara,Memphis",4.8,3118.0,Saqqara (Sakkara),Middle_East_Africa,1547,outdoor,0.8
"Private Day Tour Giza Pyramids, Sphinx, Memphis, and Saqqara",4.6,897.0,Saqqara (Sakkara),Middle_East_Africa,1547,outdoor,0.8
"Saqqara with Serapeum, Memphis and Dahshur private quality tour",4.8,73.0,Saqqara (Sakkara),Middle_East_Africa,1547,outdoor,0.8
Dahshur Pyramid Memphis And Sakkara Half Day Tour,4.8,22.0,Saqqara (Sakkara),Middle_East_Africa,1547,outdoor,0.8
